,職務名稱:,公司名稱:,招募人數:,職務類別:,職務等級:,工作地點:,薪資範圍:,工作年資:,管理責任:,工作說明:,網站連結:
20,Lead / Principal Data Engineer (Data Infra & Ops) (hybrid; Jakarta),Fazz,1,Full-time,Mid-Senior level,"Jakarta Special Capital Region, Republic of Indonesia",4 years of experience required,No management responsibility,,"#About the TeamFazz’s Data Engineering teams are responsible for creating and maintaining the infrastructure that runs the company’s data pipeline, and optimizing the flow and collection of data for the critical business analytics and AI/data-driven solutions. The success of the team relies on the high engineering standard and the adoption of cutting-edge technology that empowers the organization to be agile. Data engineering forms the foundation to ensure that precious data is being properly stored and curated so that value can be derived from them.# Roles and Responsibilities

The Data Infra and Ops team, which is part of the data engineering team, is responsible for architecting the Group’s data infrastructure that underlie all our data pipelines and machine learning solutions. The teams’ mission is to achieve maximum efficiency and stability of the entire data infrastructure, and that data is only accessed by those who are authorised to do so.As a Lead Data Engineer (Data Infra & Ops), you will work with and lead other data engineers to develop our data infrastructure, and create processes to facilitate the smooth operation of our data pipelines. You will work with the team to ensure that accurate data is available in a timely manner for management to make informed decisions, operational teams to track their metrics, and data scientists to create and run machine learning models. The responsibilities for this role include:Create and maintain infra for ETL pipelines, data warehouse, business intelligence reporting and ML model deploymentsCreate active and passive monitoring for data infrastructure (alerts, usage dashboards, etc)Develop, maintain and optimise processes for ensuring smooth data engineering operationsResearch into data engineering best practices and make continual improvements to Fazz’s data infrastructure and processes",www.cake.me//companies/draft-fazz-id/jobs/d5a750
21,"Fintech-交易所- (Sr.) Data Engineer – Cloud-first, High-impact -TL",Cake Recruitment Consulting,1,Full-time,Mid-Senior level,"Xinyi District, Taipei City, Taiwan",1.2M ~ 1.8M TWD / year,4 years of experience required,No management responsibility,"Join a fast-growing fintech company that’s shaping the future of digital asset trading. Backed by a global user base and a mission to build secure, scalable systems, we are now expanding our data infrastructure team and looking for experienced Data Engineers ready to make a real impact.
Here, engineers are trusted with real ownership and are empowered to propose, build, and optimize data systems from the ground up. If you're passionate about designing robust pipelines and enjoy working with international teams, this is your next challenge.
🔍 About the Role
As a (Senior) Data Engineer, you will work closely with Data Scientists and Analysts across teams to build, optimize, and maintain data pipelines on a cloud-first architecture. This role involves collaborating with stakeholders across departments, identifying performance gaps, and ensuring our data systems remain scalable, reliable, and observable.
💼 Responsibilities


Build and maintain scalable data pipelines and infrastructure on AWS


Collaborate with analysts and scientists to ensure timely, accurate data delivery


Design and improve ETL/ELT workflows using tools like Apache Airflow


Set up monitoring and observability for data integrity and system performance


Propose and implement improvements to our current data platform


🎁 What We Offer


Competitive annual compensation package


Flat team structure and international collaboration environment


Flexibility to partially work remotely


Healthcare coverage and wellness benefits


A front-row seat to the fast-evolving world of fintech and blockchain


Interested in building the future of data at scale?
Apply now or reach out for a confidential chat.
We’re excited to meet builders who care about performance, integrity, and impact.",www.cake.me//companies/cake-recruitment-consulting/jobs/fintech-exchange-sr-data-engineer-cloud-first-high-impact-tl
22,"Fintech-交易所- (Sr.) Data Engineer – Cloud-first, High-impact -TL",Foreign Professional Talent Recruitment in Taiwan,1,Full-time,Mid-Senior level,"Xinyi District, Taipei City, Taiwan",1.2M ~ 1.8M TWD / year,4 years of experience required,No management responsibility,"Join a fast-growing fintech company that’s shaping the future of digital asset trading. Backed by a global user base and a mission to build secure, scalable systems, we are now expanding our data infrastructure team and looking for experienced Data Engineers ready to make a real impact.
Here, engineers are trusted with real ownership and are empowered to propose, build, and optimize data systems from the ground up. If you're passionate about designing robust pipelines and enjoy working with international teams, this is your next challenge.
🔍 About the Role
As a (Senior) Data Engineer, you will work closely with Data Scientists and Analysts across teams to build, optimize, and maintain data pipelines on a cloud-first architecture. This role involves collaborating with stakeholders across departments, identifying performance gaps, and ensuring our data systems remain scalable, reliable, and observable.
💼 Responsibilities
Build and maintain scalable data pipelines and infrastructure on AWSCollaborate with analysts and scientists to ensure timely, accurate data deliveryDesign and improve ETL/ELT workflows using tools like Apache AirflowSet up monitoring and observability for data integrity and system performancePropose and implement improvements to our current data platform
🎁 What We Offer
Competitive annual compensation packageFlat team structure and international collaboration environmentFlexibility to partially work remotelyHealthcare coverage and wellness benefitsA front-row seat to the fast-evolving world of fintech and blockchain
Interested in building the future of data at scale?Apply now or reach out for a confidential chat.We’re excited to meet builders who care about performance, integrity, and impact.",www.cake.me//companies/taiwan-international-jobs/jobs/fintech-exchange-sr-data-engineer-cloud-first-high-impact-tl-209
23,Senior Data Engineer – International Web3 Leader | Fully Remote | English Required - OW,Foreign Professional Talent Recruitment in Taiwan,1,Full-time,Mid-Senior level,"Taipei City, Taiwan",60K ~ 80K USD / year,3 years of experience required,No management responsibility,"【公司描述】
我們是一家全球領先的數字資產交易與支付科技公司，致力於打造安全、高效的金融基礎設施。
目前，我們正在尋找資深數據工程師，負責獎勵與財務數據項目的開發與優化，與國際團隊合作，打造高效且可擴展的數據平台。
【Company Overview】
A global leader in digital asset exchange and payment technology, committed to building secure and efficient financial infrastructure.
The company is now hiring a Senior Data Engineer to drive development and optimization of data systems for rewards and financial operations. This role involves close collaboration with international teams to build scalable and reliable data platforms.

【職位亮點】
✅ 年薪 USD $60,000–80,000，具競爭力的薪資與成長空間
✅ 國際化團隊，與全球頂尖技術專家合作
✅ 參與高併發、即時數據處理專案，發展大規模數據基礎設施
【Role Highlights】
✅ Competitive salary (USD $60K–80K) with strong career growth
✅ Join a global team and work with top engineers from around the world
✅ Build high-throughput, real-time data infrastructure at scale

【職位職責】
🔹 數據平台與管道開發：設計與維護穩定高效的數據架構
🔹 數據倉儲建置與優化：支援離線與即時數據的儲存與檢索
🔹 大數據處理與轉換：使用 Hadoop、Spark、Flink 等技術
🔹 跨部門協作：與財務、獎勵、技術團隊合作，提供數據解決方案
【Responsibilities】
🔹 Design and maintain stable, high-performance data platforms and pipelines
🔹 Develop and optimize offline and real-time data warehouses
🔹 Process and transform large data sets using Hadoop, Spark, or Flink
🔹 Collaborate cross-functionally with Finance, Rewards, and Engineering teams to deliver data-driven solutions

【職位要求】
✔ 3–8 年數據平台或數據工程經驗
✔ 精通 Hadoop、Spark、Flink 等大數據工具
✔ 熟悉 Python / Scala / Java 至少一種程式語言
✔ 熟悉數據倉儲與 ETL（離線與即時）開發經驗
✔ 有 Airflow 經驗者佳
✔ 英文流利，能與國際團隊順利溝通
【Requirements】
✔ 3–8 years of experience in data platform or pipeline engineering
✔ Proficient in big data tools: Hadoop, Spark, Flink
✔ Strong programming skills in at least one of: Python, Scala, or Java
✔ Solid understanding of data warehousing and ETL (offline  real-time)
✔ Experience with Airflow is a plus
✔ Fluent in English with strong communication skills for working across global teams----------------------------------------------------------------------
若您對此職位感興趣，請立即聯繫，讓我為您介紹更多詳細資訊！
▶︎ 聯繫人：招募顧問 Owen Wu▶︎ LINE： https://line.me/ti/p/ICjS8Jx0Dq▶︎ LinkedIn： https://www.linkedin.com/in/owen-wu-1023a41a4/",www.cake.me//companies/taiwan-international-jobs/jobs/senior-data-engineer-international-web3-leader-fully-remote-english-required-ow
24,國際知名 Web3 服務商🪙全遠端(要求英文溝通) - 數據資料工程師(Senior) - OW,Cake Recruitment Consulting,1,Full-time,Mid-Senior level,"Taipei City, Taiwan",60K ~ 80K USD / year,3 years of experience required,No management responsibility,"【公司描述】
我們是一家全球領先的數字資產交易與支付科技公司，致力於打造安全、高效的金融基礎設施。
目前，我們正在尋找 (資深)數據工程師，負責獎勵與財務數據相關項目的開發與優化，
與國際團隊合作，共同構建高效、可擴展的數據平台。
【職位亮點】
✅ 年薪 60-80K USD，具競爭力的薪資與成長空間
✅ 國際化團隊，與來自世界各地的頂尖技術專家合作
✅ 參與高併發、即時數據處理專案，發展大規模數據基礎設施
【職位職責】
🔹 數據平台與數據管道開發：設計並維護高效的數據基礎架構，確保數據流順暢與穩定
🔹 數據倉儲建置與優化：開發 離線與即時數據倉儲，確保數據高效存儲與檢索
🔹 大數據處理與分析：運用 Hadoop、Spark、Flink 進行數據計算與轉換
🔹 跨部門協作：與財務、獎勵與技術團隊合作，提供數據解決方案
【職位要求】
✔ 3-8 年數據平台/數據管道工程經驗
✔ 熟悉大數據技術：精通 Hadoop、Spark、Flink
✔ 具備程式開發能力：精通 Python / Scala / Java 至少一種語言
✔ 熟悉數據倉儲概念，具有 離線 / 即時數據倉儲 開發經驗
✔ 具備 Airflow 經驗 者佳
✔ 流利的英文溝通能力，能與國際團隊無障礙協作----------------------------------------------------------------------
若您對此職位感興趣，請立即聯繫，讓我為您介紹更多詳細資訊！
▶︎ 聯繫人：招募顧問 Owen Wu▶︎ LINE： https://line.me/ti/p/ICjS8Jx0Dq▶︎ LinkedIn： https://www.linkedin.com/in/owen-wu-1023a41a4/",www.cake.me//companies/cake-recruitment-consulting/jobs/729080
25,資深財務數據工程師 Sr. Finance Data Engineer,烽泰科技有限公司,2,Full-time,Mid-Senior level,"Taipei City, Taiwan",1.1M ~ 1.3M TWD / year,5 years of experience required,No management responsibility,"【工作內容】
作為集團數據策略的關鍵推手，您將有機會與集團IT團隊一同將財務數據從傳統架構轉型至現代化雲端平台 (AWS)。如果您渴望與頂尖數據專家、專案經理共同協作，並將資料工程、雲端、DataOps 技術應用於實際業務痛點，那麼這個職位正是您的最佳舞台！
我們的Sr. Finance DE將會與集團IT團隊合作，逐步將財務資料從地端VM搬遷至AWS雲端環境，並協助其他財務部同仁將日常業務報表、分析報表進行自動化。我們重視快速溝通與實際的專案交付! 在這裡，除了具競爭力的薪資與各種福利外，您還能與團隊內不同的夥伴們相互學習，追求技術成長。我們相信，透過透過實際的專案開發與新技術的學習與使用，才是讓團隊不斷進步與成長的動力！

【您需要做什麼?】 
  • 協助財務數據雲端轉型： 與集團 IT 團隊緊密協作，規劃並執行財務核心資料從地端 VM 遷移至 AWS 雲端環境的策略與實施。
  • 建構數據自動化流程： 設計、開發並維護高效、穩定的財務數據 ETL/ELT pipeline，實現日常業務報表與分析報表的全面自動化。
 • 數據架構優化與創新： 持續學習並導入先進的資料領域知識與技術（如 DataOps、FinOps 概念），優化現有數據架構，提升數據處理效率與品質。
  • 跨部門協作與溝通： 深入理解財務部門需求，並能將複雜的技術概念清晰地傳達給非技術背景的同仁，共同推動專案進程。
  • 數據專案開發與管理： 負責數據相關專案的設計、開發與維護，包含 Datalake 管理、資料收集、清洗、儲存等關鍵功能，確保數據的完整性、一致性與可用性。
  • 文件撰寫與知識傳承： 撰寫清晰的開發文件 (Design Document, ERD, Diagram, User Manual)，確保專案知識的有效傳承。

【我們期待您具備】 
• 精通 SQL，具備大規模集中/分散式資料庫的 CRUD 操作、效能優化及資料清洗 (ETL/ELT) 實戰經驗。
• 豐富的 Python 資料工程開發經驗，熟悉並應用 pandas, numpy, pyspark 等核心套件。
• 具備 AWS 雲端平台 (例如 S3, EC2, Lambda, Glue, Redshift, Athena 等服務) 與 Databricks 的實務開發經驗。
• 具備 Data Pipeline (資料流) 的設計、搭建與優化能力，熟悉 Dagster 或 Airflow 等排程工具。
• 5 年以上資深資料工程師或相關經驗，並具備獨立主導專案的能力。
• 卓越的需求訪談與業務邏輯理解能力，能將複雜的技術概念清晰地傳達給非技術背景利害關係人。
• 具備良好的溝通協作能力，主動積極解決問題，並樂於分享知識。

【符合以下條件，將是您的優勢】 
• 具備財務金融相關專業知識或在金融科技產業的資料工程經驗。
• 對 DataOps 或 FinOps 理念有深入理解與實踐經驗。
• 熟悉 Linux 操作與 Shell Script。
• 具備 資料視覺化工具 (Tableau、PowerBI) 實務經驗。",www.cake.me//companies/unicornfintech/jobs/sr-finance-data-engineer
26,知名金控數位轉型 - 數據部 -數據管理科- (資深)資料科學工程師Data Engineer - TL,Cake Recruitment Consulting,1,Full-time,Mid-Senior level,"Xinyi District, Taipei City, Taiwan",1M ~ 1.5M TWD / year,5 years of experience required,No management responsibility,"公司介紹：
我們的客戶是一家領先的金融科技公司，致力於通過數位、數據和技術推動整體轉型。公司正在積極打造數據驅動文化，以成為提供卓越金融服務的科技公司為目標。公司環境開放創新，鼓勵員工發揮創造力，實現職業理想。
JD:


 
 
  1.銀行資料倉儲ETL批次維運管理、海內外倉儲數據整合與加值運用。
 
 
  2.數據應用需求ETL開發與維運。
 
 
  3.數據應用之相關專案分析設計。
 
 
  4.數據介接、資料治理、數據市集應用之程式開發維運。",www.cake.me//companies/cake-recruitment-consulting/jobs/f68770
27,新興 VPN 品牌📱資料密集型產業 x AWS/GCP 雲端基礎架構 - 數據工程師(Data Engineer) - OW,Cake Recruitment Consulting,1,Full-time,Mid-Senior level,"Taipei City, Taiwan",1M ~ 1.8M TWD / year,3 years of experience required,No management responsibility,"【公司描述】
本公司為亞洲新興科技品牌，專注於打造高效穩定的資料平台與雲端基礎架構，支援大規模數據應用與商業決策。在數位轉型與數據驅動已成為營運主軸的當下，我們成立專責資料工程團隊，投入企業級資料基礎建設與資料治理推進。
團隊技術氛圍活躍，長期實作於 GCP、AWS 等雲端平台，並導入如 Elasticsearch、Kafka、Spark 等大數據技術。誠摯邀請對資料基礎設施與雲端工程有熱情的工程師加入，共同提升企業在資料應用上的核心競爭力。
【職缺亮點】
✅ 管理 PB 級別資料流與高效能雲端平台，實戰經驗豐富
✅ 深度參與資料平台建構、數據治理、流程自動化等關鍵專案
✅ 技術堆疊完整，涵蓋 GCP / AWS / Elasticsearch / Spark 等主流框架
✅ 資料密集型產業，直接支援業務決策與產品數據需求
【職位職責】
🔹 設計與建置穩定的大數據處理流程與資料管線，確保資料的準確性與即時性
🔹 負責從 GCP、AWS、ES 等平台擷取原始資料，並透過 Glue、Workflow 等進行清洗與轉換
🔹 維護與優化 Elasticsearch 等關鍵資料系統，確保查詢效率與資料完整性
🔹 根據業務需求撰寫 ETL 流程與資料清洗邏輯，並持續監控資料品質
🔹 撰寫與維護工程文件、資料字典、流程註解，強化團隊知識共享
🔹 與分析師、PM 與業務部門密切合作，提供技術支援與資料解釋
🔹 研究並導入最新數據技術與工具，強化資料處理效率與系統彈性
【職位要求】
✔ 擁有 3 年以上資料工程、數據基礎建設或雲端開發經驗
✔ 熟悉 Python 與 SQL，具備良好程式設計與資料邏輯能力
✔ 熟悉雲端資料處理平台，如 AWS Athena、Glue、GCP BigQuery 等
✔ 具備 Elasticsearch 操作與入庫流程實務經驗者尤佳
✔ 熟悉資料治理、資料品質控管、資料字典維運者優先考慮
✔ 熟悉數據架構與資料流程設計，具獨立規劃與維運能力
✔ 具備良好跨部門溝通能力與文件撰寫能力
✔ 擁有跨團隊數據專案參與經驗者，將有助於快速上手本職務----------------------------------------------------------------------
若您對此職位感興趣，請立即聯繫，讓我為您介紹更多詳細資訊！
▶︎ 聯繫人：招募顧問 Owen Wu▶︎ LINE： https://line.me/ti/p/ICjS8Jx0Dq▶︎ LinkedIn： https://www.linkedin.com/in/owen-wu-1023a41a4/",www.cake.me//companies/cake-recruitment-consulting/jobs/ae64ce
28,知名金控數位轉型 - 海外市場/跨國團隊- 資深資料科學工程師 /數據工程師 Data Engineer - TL,Cake Recruitment Consulting,1,Full-time,Mid-Senior level,"Xinyi District, Taipei City, Taiwan",1M ~ 1.6M TWD / year,5 years of experience required,No management responsibility,"我們的客戶是一家領先的金融科技公司，致力於通過數位、數據和技術推動整體轉型。公司正在積極打造數據驅動文化，以成為提供卓越金融服務的科技公司為目標。公司環境開放創新，鼓勵員工發揮創造力，實現職業理想。JD:協助主導大數據生態圈資料市集與應用建置，管理資料流上下游協同作業，制定資料治理政策，包含但不限於以下：
1.分析型資料市集、API數據中台、管理平台設計、開發與維運。
2.建立工程開發流程與模式、系統文件規劃、撰寫。
3.結構化及非結構化資料處理與整合。
4.用資料導向概念提升各類業務，並導入系統以加強各項資料應用。
5.建立資料治理規則，確保資料品質。",www.cake.me//companies/cake-recruitment-consulting/jobs/92448b
29,"【數位驅動】AI技術/應用規劃分析師(數數發中心, DDT)",Cathay United Bank 國泰世華商業銀行,5,Full-time,Mid-Senior level,"Taipei City, Taiwan",Negotiable,No requirement for relevant working experience,No management responsibility,工作內容:拓展數據科學應用，掌握創新AI技術趨勢，並進行AI應用規劃、模型落地與深化：1.掌握市場AI技術與應用發展趨勢，規劃AI技術或應用發展藍圖2.推動AI技術產品發展：針對共通性業務場景規劃技術解決方案，加速解決業務痛點。3.掌握並能應對內外部AI監管趨勢，推動可信任AI實踐4.掌握部門AI服務之發展狀況、營運狀況、監控合規狀態等，並推動全行AI技術落地應用5.與多功能團隊（例如商業分析師、資料科學家、AI/ML工程師、資料工程師、AI軟體工程師…等）合作，確保技術可行性。,www.cake.me//companies/cathay-united-bank/jobs/d1bb9d
30,"【數位驅動】AI數據系統分析師(數數發中心, DDT)",Cathay United Bank 國泰世華商業銀行,5,Full-time,Entry level,"Xinyi District, Taipei City, Taiwan",Negotiable,No requirement for relevant working experience,No management responsibility,工作內容:負責AI與大數據服務應用系統之需求規劃與功能分析。1.掌握市場AI與大數據技術發展趨勢，規劃AI與大數據服務應用系統功能。2.與業務及開發團隊共同分析需求，導入AI與大數據應用解決方案，滿足場景需求。3.設計及撰寫系統規格文件，包含AI與大數據模型運作及跨系統資料整合。4.保持對Data、AI/ML新技術的敏感度，並應用於解決問題及驅動AI與大數據服務創新。5.與多功能團隊（例如資料科學家、AI/ML工程師、資料工程師、AI軟體工程師…等）合作，確保技術可行性。,www.cake.me//companies/cathay-united-bank/jobs/baa91f
31,I107 資料分析/數據工程師(可遠端工作),台灣大哥大,1,Full-time,Entry level,"Daan District, Taipei City, Taiwan",36K ~ 60K TWD / month,No requirement for relevant working experience,No management responsibility,"聽過黑盒子、演算法、機器學習、Alphago嗎?這些讓我們聯想到AI的代名詞是否讓你躍躍欲試？""AI""所綻放的魔力吸引了眾多人趨之若鶩，資料科學領域無限寛廣，是否想找個能一展身手的機會？是否想要學習各種程式語言SQL、Python、R、SPARK、Java、HTML、C#...等技術，並且將各項技術結合在一起實現為產品的抱負？這裡有一個符合所有需求的機會，就等您來展現！ 

【為什麼要加入台灣大哥大 IT 攻城精英團隊】
1. 我們有大公司的穩定福利，也有新創公司般的工作挑戰
2. 我們致力打造一起學習、正向鼓勵回饋的工作氛圍與環境
3. 我們有體貼的常規居家上班制度
4. 我們已不是傳統的電信公司，飛輪已開始高速運轉，正加速往區域級科技電信集團目標大步邁進
5. 我們能讓你從「攻城師」升級為「攻城精英」，這裡絕對是個讓你可以升級武器、切磋技能、激發潛能的難得機會
6. 我們還有一位跨領域身經百戰、兼具感性與知性、熱愛分享，每週都請喝咖啡的超強 CIO 隊長！

【工作內容】
1. 參與資料倉儲相關之系統的需求訪談/架構規劃/開發/維運。
2. 參與並執行專案，主動積極從各種角度思考，提出各種可行的方案

A. 資料工程：
 ■負責資料擷取及處理之ETL開發及維運
 ■負責通路報表系統優化
 ■通路業績日月報相關需求開發與維運
 ■雲端通路即時戰報相關需求開發與維運

B. 資料分析：
 ■負責數據資安產品開發
 ■負責產品優化與維運
 ■使用機器學習/統計分析/深度學習等資料分析新技術
 ■發展雲端數據分析技術與商業智慧應用系統開發

C. 大數據：
 ■大數據分析經驗
 ■網路爬蟲
 ■盜偽網站偵測..等ML/DL建模
 ■資安產品開發設計根據內外部業務需求，提供需求相關的技術規劃做法、與分析洞察

*HR於收到履歷後將協助媒合合適職缺

【我們喜歡什麼樣的人】
1. 具備團隊合作精神
2. 良好的溝通及表達能力
3. 積極進取的工作態度
4. 對新興技術展現學習能力

歡迎所有求職者，與應屆畢業生，給我們一個認識你的機會，也給自己一個不留遺憾的嘗試，讓我們開創未來。

【必備技能】

A. 資料工程/資料分析：
 ■熟悉資料分析程式開發與SQL程式後端開發技能
 ■NoSQL 開發經驗
 ■Oracle 或 SQL Server..等資料庫開發經驗
 ■C# 或Java或R或Python開發經驗
 ■熟悉SAP BOE或Power BI或Tableau..等視覺化分析工具尤佳

B. 大數據： 
 ■精通Python或Java程式開發
 ■具AI 或 ML 或 DL實務經驗
 ■熟悉資料分析程式開發與SQL程式後端開發技能
 

【薪資待遇】：月薪36,000元-60,000元，依績效另有豐厚年終獎金與員工紅利。",www.cake.me//companies/taiwan-mobile/jobs/i107-data-analyst-data-engineer-can-work-remotely
32,日商金融企業💰資料庫處理 x ETL 開發 - 財務軟體系統工程師 - OW,Cake Recruitment Consulting,1,Full-time,Mid-Senior level,"Taipei City, Taiwan",800K ~ 1.3M TWD / year,5 years of experience required,No management responsibility,"【公司描述】
我們是一家專注於企業數位化轉型的知名企業，致力於運用科技提升財務與營運效率。
目前，我們正在尋找 EBS 財務系統工程師，負責企業財務系統的維運、開發與流程優化，確保財務管理數據的準確性與高效運作。
【職位亮點】
✅ 深入參與企業核心財務系統，發揮你的技術專長
✅ 穩定發展機會，與專業團隊合作，參與大型系統優化專案
✅ 具挑戰性的技術環境，涵蓋 EBS、ETL、PL/SQL 等技術領域
【職位職責】
🔹 Oracle EBS 財務系統維運：負責企業 EBS 財會系統的維護與優化，確保系統穩定運行
🔹 系統開發與用戶需求解決：以 Form 與 Report 為主，開發新功能並提供技術支援
🔹 跨部門需求分析與流程優化：與財務、營運等部門溝通需求，提升系統效能與使用體驗
🔹 數據架構與專案參與：協助新專案的數據規劃、分析與實施，確保數據流暢與準確
【職位要求】
✔ PL/SQL 開發經驗：至少 4-5 年 PL/SQL 開發 經驗，熟練處理數據查詢與優化
✔ Oracle EBS 系統經驗：熟悉 EBS 財會系統的 資料庫結構與功能，能夠獨立進行開發與維護
✔ 數據整合與規劃能力：具備 ETL、資料轉換流程、工作排程設計與效能調校 經驗者佳
✔ 溝通與協作能力：擅長跨部門溝通，能夠分析業務需求並提供適切的技術解決方案----------------------------------------------------------------------
若您對此職位感興趣，請立即聯繫，讓我為您介紹更多詳細資訊！
▶︎ 聯繫人：招募顧問 Owen Wu▶︎ LINE： https://line.me/ti/p/ICjS8Jx0Dq▶︎ LinkedIn： https://www.linkedin.com/in/owen-wu-1023a41a4/",www.cake.me//companies/cake-recruitment-consulting/jobs/ef7d98
33,資深 AI 工程師（Senior AI Engineer ）_遠端工作,awoo阿物科技股份有限公司,1,Full-time,Mid-Senior level,Taiwan,Negotiable,3 years of experience required,No management responsibility,"台灣 MarTech 領導品牌 awoo 結合 AI 人工智慧，是台灣成長最快速的 SaaS（Software as a Service）MarTech Solution。2017年獲得種子輪融資，2020年完成 A 輪募資，獲得Netscape共同創辦人沙正治 、Fintech獨角獸Ellie Mae共同創辦人Limin Hu等多位矽谷軟體企業家投資，是台灣極少數獲得矽谷資源挹注的新創團隊。未來我們將積極前進全球，重新描繪海島小國以軟體航向世界的新路線。


Major Duties and Responsibilities：
產品落地與協作：負責開發和優化 AI 產品與服務，從 PoC 到產品化，跨部門合作提出創新解決方案，推動 AI 產品落地。效能優化：維運現有系統，分析並解決服務和算法的效能瓶頸。ML/Data Pipeline：設計與建立可擴展的 Pipeline 自動化流程，提升開發和部署效率。
Qualifications：
具備 5 年以上軟體開發經驗，3 年以上 AI 產品研發經驗。熟悉自然語言處理（NLP）、生成式 AI 相關技術（LLM, RAG, Prompt/Context Engineering），使用開源套件或自行開發算法（Transformers, LangChain, LangGraph, DSPy, TensorFlow, PyTorch, Scikit-Learn）。具備模型的開發、訓練、部署、優化的完整實務經驗。具備使用 Container 和 Kubernetes 的開發與部署經驗。熟悉向量資料庫與 Embedding 模型，確保系統效能與可擴充性。熟悉分散式計算與查詢引擎（如 Spark、Trino、Clickhouse），具有處理大量資料處理開發與維運經驗。熟練 Git, Linux, Python, Docker, SQL，能以 FastAPI 開發高效服務。
Nice-to-Have：
雲平台經驗，如 GCP, AWS, Azure。具有 LLM/SLM Finetuning 實務經驗。MLOps/LLMOps 專案經驗，以量化指標來衡量模型和產品的成效。規劃與實作 CI/CD 自動化流程。具備推薦、搜尋或貼標系統的產品化經驗
擅⻑工具（JD 標籤）
程式與開發：Python, Git, Linux, SQL, FastAPIGenAI：RAG, Prompt Engineering, Context Engineering, Agent資料與運算：Airflow, Spark, Trino, Vector Database, Qdrant平台與部署：Docker, Kubernetes, Cloud, GCP, AWS, Azure",www.cake.me//companies/awoo/jobs/senior-ai-engineer-de8
34,台灣金融巨頭🏦高度實作 & 創新，資料產品研發角色 - 數據工程師 - OW,Cake Recruitment Consulting,1,Full-time,Mid-Senior level,"Taipei City, Taiwan",1M ~ 1.5M TWD / year,2 years of experience required,No management responsibility,"【公司描述】
本公司為亞洲區領先的數位化金融機構之一，持續深耕數據科技創新，致力打造以數據驅動的智慧金融服務。現正積極尋找擁有資料工程熱情與技術力的專業人才，加入內部 AI/ML 團隊，共同打造具有商業價值的數據平台與應用。
【職缺亮點】
✅ 銜接業務與 IT 團隊，實作端到端的數據產品
✅ 深度參與 MLOps 系統建設，推動 AI 模型部署與自動化迭代
✅ 企業內部資料產品研發角色，具有高度實作與創新空間
✅ 穩定大型企業體制＋靈活敏捷開發團隊文化
【職位職責】
🔹 與 IT 團隊協作設計與優化數據採集流程，建立可供模型運作的特徵資料庫
🔹 針對業務需求進行資料前處理與特徵工程，提升模型運算效能與準確度
🔹 負責建置並維護資料管線 (Data Pipeline)，實現數據清洗、轉換、自動化流程
🔹 推動 MLOps 架構與模型自動佈署 (Auto-Retrain)，提升資料產品迭代速度
🔹 與業務、數據科學團隊合作研發資料產品並落地服務化
🔹 協助簡報與說明模型架構、效能，支持內部單位的溝通與決策
【職位要求】
✔ 至少 2 年以上資料處理與工程經驗，具數據產品開發實務佳
✔ 熟悉 Python、SQL 與 PySpark，熟悉資料結構與演算法原理
✔ 具備資料管線規劃、建置與維運能力
✔ 對數據分析與應用保持熱情，具備獨立解決問題與跨部門溝通能力
✔ 具備邏輯清晰的簡報能力與技術表達能力
✔ 若為資深工程師，需具備完整系統建置經驗與專案推動能力----------------------------------------------------------------------
若您對此職位感興趣，請立即聯繫，讓我為您介紹更多詳細資訊！
▶︎ 聯繫人：招募顧問 Owen Wu▶︎ LINE： https://line.me/ti/p/ICjS8Jx0Dq▶︎ LinkedIn： https://www.linkedin.com/in/owen-wu-1023a41a4/",www.cake.me//companies/cake-recruitment-consulting/jobs/4d304b
35,機器學習工程師 ML machine learning Engineer,資旅軟體開發有限公司,1,Full-time,Entry level,Taiwan,50K ~ 65K TWD / month,3 years of experience required,No management responsibility,我們正在尋找具有豐富經驗的 ML工程師 / LLM 工程師，專注於企業應用領域的開發與實施。該職位將負責設計和優化大型語言模型（LLM）相關應用，利用最先進的人工智慧技術來解決實際業務需求，並確保符合負責任 AI 的標準。工作內容涵蓋專案：- 數據平台架構開發- 個人化商品推薦- 價格追蹤推薦- 購物行為分析- 會員興趣分析- 商品關聯性分析工作職責：1. 數據平台開發與維護   - 使用 Databricks 建立完整數據處理平台   - 設計與維護 Delta Lake 數據湖架構   - 建立高效能 pipeline jobs   - 整合多源數據(訂單、商品、價格、會員資料等)2. 推薦系統開發與優化   - 開發個人化商品推薦引擎   - 設計購物行為分析模型   - 建立商品關聯性分析系統   - 開發價格追蹤與優惠推薦機制3. 數據分析與應用   - 使用 PySpark 進行大規模數據處理   - MongoDB 應用開發與優化   - 建立自動化數據管道(Data Pipeline)   - 開發數據監控與警報機制4. API 開發與系統整合   - RESTful API 設計與開發   - 微服務架構整合   - 系統效能優化,www.cake.me//companies/webglsoft/jobs/515b55
